City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
464,Shingu,JP,84.51,overcast clouds,33.7333,135.9833,Shingu UI Hotel
465,Catuday,PH,82.71,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
466,Isangel,VU,80.71,light rain,-19.55,169.2667,Tanna Lodge
468,Sampit,ID,78.85,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
470,Mutata,CO,74.17,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
473,Batticaloa,LK,76.69,light rain,7.7102,81.6924,Grand Star Guest House
477,Fountain,US,71.29,clear sky,38.6822,-104.7008,Colorado Springs KOA Holiday
479,Ugento,IT,76.46,clear sky,39.9263,18.1574,Porta Paradiso
482,Manokwari,ID,83.35,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
484,Tautira,PF,77.49,light rain,-17.7333,-149.15,Pension Oaoa
485,Bobo Dioulasso,BF,77.45,clear sky,11.1771,-4.2979,IBA Hotel
486,Vanimo,PG,83.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
487,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
490,Coruripe,BR,72.43,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
491,Manzanillo,CU,73.87,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
492,Bama,NG,73.96,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
495,Jawhar,SO,72.07,scattered clouds,2.7809,45.5005,Hotel Shabelle
500,Katherine,AU,73.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
501,Roma,US,74.37,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
502,Saryozek,KZ,75.16,scattered clouds,44.3583,77.9753,Gostinitsa
505,Fort-Shevchenko,KZ,75.63,clear sky,44.5086,50.263,Oasis hotel Bautino
506,Morgan City,US,80.01,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
507,Pacific Grove,US,75.22,scattered clouds,36.6177,-121.9166,Lovers Point Inn
509,Broome,US,73.69,clear sky,42.2506,-75.833,Chenango Valley State Park
510,Brookhaven,US,77.25,overcast clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
512,Carutapera,BR,75.85,clear sky,-1.195,-46.02,Lidera
513,Belance,PH,76.32,overcast clouds,16.1833,121.25,Sea of Clouds Dupax Norte Nueva Vizcaya
514,Shimoda,JP,89.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
516,Trinidad,BO,76.82,few clouds,-14.8333,-64.9,Hotel Piesta
517,Buala,SB,85.01,light rain,-8.145,159.5921,Maringe Lagoon Lodge
518,Mazamari,PE,71.89,clear sky,-11.3258,-74.5308,Hospedaje Ratto
520,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
522,Rayong,TH,85.8,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
524,Shimanovsk,RU,70.97,overcast clouds,52.0,127.7,Гостиница Домашняя
526,Umm Lajj,SA,86.94,few clouds,25.0213,37.2685,Moon light Furnished Units
527,Sumter,US,87.15,scattered clouds,28.7086,-82.0831,Paradise Oaks RV Resort
528,Sigli,ID,77.72,light rain,5.3848,95.9609,Losmen Dua Mali
529,Kushima,JP,81.59,scattered clouds,31.4583,131.2333,Hanaoka
532,Cumana,VE,78.82,few clouds,10.4635,-64.1775,Posada Acuarela Los Roques
533,Harper,LR,74.05,broken clouds,4.375,-7.7169,Screensaver
534,Puri,IN,82.92,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
536,Kharan,PK,79.5,overcast clouds,28.5833,65.4167,Dil Aram Bangla
539,Ugoofaaru,MV,80.98,overcast clouds,5.6667,73.0,Ungoofaaru Inn
541,Tura,IN,77.36,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
545,Altopascio,IT,77.14,clear sky,43.8157,10.6739,La Vecchiaccia
546,Acapulco,MX,80.67,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
550,Yashkul,RU,75.61,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
552,Marand,IR,70.68,clear sky,38.4329,45.7749,کوچه صفا
554,Hirara,JP,80.87,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
555,Kumylzhenskaya,RU,70.83,few clouds,49.8809,42.5898,"Gostinitsa ""Sosnovyy Dvor"""
556,Oussouye,SN,79.5,light rain,12.485,-16.5469,Auberge du Routard
557,Yantai,CN,75.9,overcast clouds,37.5333,121.4,Yantai Seaside International Youth Hostel
560,Sibu,MY,82.8,few clouds,2.3,111.8167,RH HOTEL (4 Star)
564,Khandyga,RU,82.69,clear sky,62.6667,135.6,Apel'sin
567,Zhangye,CN,79.36,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
568,Harda,IN,77.74,overcast clouds,22.3333,77.1,OYO 67581 Samaroh Parisar
570,Salinas,US,85.01,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
571,Linqu,CN,76.21,overcast clouds,36.5156,118.5397,Jiaohua Hotel
573,Shiyan,CN,87.4,scattered clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
575,Contai,IN,83.53,broken clouds,21.7786,87.7536,PATHFINDER
582,Jalor,IN,79.84,overcast clouds,25.35,72.6167,Hotel Mansarovar
584,Nipawin,CA,70.9,few clouds,53.3668,-104.0009,Tobin Lake Motel
585,Tazmalt,DZ,80.58,clear sky,36.3868,4.3989,Hôtel Numédia
586,San Felipe,VE,71.98,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
587,Puerto Escondido,MX,80.51,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
588,Naze,JP,81.18,overcast clouds,28.3667,129.4833,Shishime Hotel
589,Wanxian,CN,84.79,clear sky,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
591,Gotsu,JP,86.94,clear sky,35.0,132.2167,Yurusato
593,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
597,Sun City West,US,89.89,few clouds,33.662,-112.3413,Windmill All Suites Surprise
598,Mehran,IR,89.42,clear sky,33.1222,46.1646,بوتیک زنانه بهار
601,Manicore,BR,76.62,clear sky,-5.8092,-61.3003,Hotel Durval
602,Georgiyevka,KZ,71.64,clear sky,43.0369,74.7114,Gostinitsa Imperiya
604,Zhigansk,RU,75.63,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
605,Miles City,US,83.86,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
606,Ushtobe,KZ,79.81,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
607,Pontianak,ID,79.43,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
611,Nobres,BR,75.24,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
613,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
618,Maiduguri,NG,76.77,scattered clouds,11.8464,13.1603,Kagel Mari Police Station
619,Rio Brilhante,BR,74.17,overcast clouds,-21.8019,-54.5464,Hotel Cattani
620,Jamkhed,IN,79.32,overcast clouds,18.7362,75.3121,Ugale's Residence
621,Seminole,US,88.38,broken clouds,28.7086,-81.2081,The Oviedo Lodge Motel
622,Puerto Del Rosario,ES,74.95,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
623,Pasni,PK,81.18,overcast clouds,25.2631,63.471,Kashmiri Hotal
625,San Matias,BO,75.96,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
628,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
635,Omboue,GA,70.66,broken clouds,-1.5746,9.2618,Hotel Olako
636,Palmer,US,80.06,broken clouds,42.1584,-72.3287,Wedgewood Motel
637,Tecoanapa,MX,80.76,clear sky,16.5167,-98.75,Hotel Manglares
639,Edgewater,US,86.23,few clouds,28.9889,-80.9023,Islander Beach Resort
641,Hellin,ES,74.01,clear sky,38.5106,-1.701,Hotel Restaurante Reina Victoria
643,Wahiawa,US,80.37,overcast clouds,21.5028,-158.0236,The Inn At Schofield
647,Kieta,PG,82.9,light rain,-6.2167,155.6333,Uruna Bay Retreat
653,Dhidhdhoo,MV,79.86,overcast clouds,6.8833,73.1,Dhidhoo beach
654,Beloeil,CA,72.25,broken clouds,45.5668,-73.1992,Hôtel Rive Gauche - Refuge Gourmand
662,Kerman,IR,77.79,overcast clouds,30.2832,57.0788,هتل آپارتمان آسام
664,Marsh Harbour,BS,82.83,few clouds,26.5412,-77.0636,Abaco Beach Resort
665,Jalu,LY,83.12,clear sky,29.0331,21.5482,صاحبة الفخامة
666,Lashio,MM,72.41,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
667,Torello,ES,72.19,scattered clouds,42.0463,2.2668,Casal del Pensionista de Sant Vicenç de Torelló
670,Acajutla,SV,79.11,overcast clouds,13.5928,-89.8275,Laureles
672,Wasilla,US,74.48,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
674,Mitsamiouli,KM,75.63,scattered clouds,-11.3847,43.2844,Foyer ADM
675,Ewa Beach,US,83.59,overcast clouds,21.3156,-158.0072,Base Lodging
676,Union Hidalgo,MX,81.19,scattered clouds,16.4723,-94.8295,"Posada "" Esquipulas"""
678,Puerto Colombia,CO,79.66,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
680,Dicabisagan,PH,85.01,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
686,Wanning,CN,85.3,clear sky,18.8003,110.3967,Paradise Hotel
688,Biak,ID,73.56,light rain,-0.9131,122.8766,Penginapan Kim
